case,rpm,rps,throughput,avg_resp_ms,avg_wait_ms,ttft_ms,itl_ms,max_rps,saturation,error
queue-analysis,2,0.033333,0.033333335,11441.421,0,53.43041,11.131955,0.6613507,,
queue-analysis,6,0.1,0.1,12643.241,0,55.775425,12.304463,0.6613507,,
queue-analysis,10,0.166667,0.16666667,14127.177,0,58.67091,13.752205,0.6613507,,
queue-analysis,14,0.233333,0.23333333,16005.771,0,62.33646,15.58498,0.6613507,,
queue-analysis,18,0.3,0.3,18460.615,0,67.1264,17.97995,0.6613507,,
queue-analysis,22,0.366667,0.36666667,21804.885,0,73.6518,21.242653,0.6613507,,
queue-analysis,26,0.433333,0.43333334,26628.893,0,83.0645,25.949001,0.6613507,,
queue-analysis,30,0.5,0.5,34193.777,0.078125,97.903244,33.3293,0.6613507,,
queue-analysis,34,0.566667,0.56666666,47781.64,44.773438,169.02989,46.54214,0.6613507,,
queue-analysis,38,0.633333,0.63330674,85964.74,9569.172,9749.715,74.501495,0.6613507,,
queue-analysis,42,0.7,0.66200465,263750.94,167083.56,167304.61,94.27794,0.6613507,overloaded,
blis-roofline,2,0.033333,0.039331026,3858.5266,1095.1495,1135.8729,3.6678617,0,,
blis-roofline,6,0.1,0.11723623,5245.8027,1477.4132,1532.1844,3.7675831,0,,
blis-roofline,10,0.166667,0.19000249,4929.0083,1470.0576,1524.2218,3.7770548,0,,
blis-roofline,14,0.233333,0,0,0,0,0,0.19537812,bandwidth,
blis-trained-physics,2,0.033333,0.03793568,6216.6235,16.2346,28.4135,8.335488,0,,
blis-trained-physics,6,0.1,0.1100019,8060.482,18.038324,31.92197,8.64957,0,,
blis-trained-physics,10,0.166667,0.19333702,7917.361,19.368706,33.32423,8.730962,0,,
blis-trained-physics,14,0.233333,0,0,0,0,0,0.19537812,bandwidth,
